album,track_number,name,uri,available_markets,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,time_signature,album_uris,album_release_date,album_release_date_precision,album_total_trakcs
Joey • My Secret • Live,1,男朋友與歌,spotify:track:4CUSwovshrH8PlgtEolnWZ,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",240666,0.532,0.339,0.51,0.0,0.417,-8.368,0.0426,127.239,0.277,22,7,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,2,卸妝,spotify:track:3Mbryc4n1kehggdMW3tBWi,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",238066,0.128,0.584,0.681,0.0,0.669,-7.909,0.0264,93.982,0.582,19,7,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,3,臨床,spotify:track:0FgfNxWoKWGvcwyvSvbdBS,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",76253,0.846,0.329,0.281,0.0,0.231,-13.438,0.17,177.546,0.241,17,0,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,4,如果睡袍太少布,spotify:track:1VFE63Y0Zd3bXnhFf9MYv7,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",220826,0.462,0.623,0.66,0.0,0.404,-8.288,0.0549,129.821,0.352,18,4,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,5,想得太遠,spotify:track:7FixrWlMLkteeptWIM8fM4,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",204160,0.42,0.512,0.573,0.0,0.362,-7.343,0.0306,123.18,0.423,22,5,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,6,金銀島,spotify:track:6UG4FGvWAO5ndVWKLV3plX,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",180506,0.0355,0.478,0.926,0.0,0.344,-5.884,0.111,94.751,0.451,17,9,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,7,What's Up,spotify:track:4qR0MAF4GfbV1yXcSVD8MF,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",147666,0.00215,0.599,0.972,0.0,0.918,-5.518,0.0443,138.959,0.771,17,4,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,8,去火星戀愛,spotify:track:1FZtInPF2E2NSEVKS8lABV,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",223760,0.651,0.398,0.52,0.0,0.195,-8.576,0.0333,73.641,0.364,22,3,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,9,故弄玄虛,spotify:track:28VIyG0AEXtPIKPAhE4NBa,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",231200,0.56,0.41,0.575,0.0,0.445,-10.512,0.055,143.852,0.421,19,5,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,10,遲鈍,spotify:track:2Zpa3cBb0vd6EsEaL6xSKi,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",170733,0.506,0.544,0.669,0.0,0.646,-9.272,0.0522,96.935,0.296,17,11,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,11,我的麻煩男友,spotify:track:4ud2gWwM0FHNr0X89WuBbC,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",201960,0.488,0.376,0.414,0.0,0.767,-10.96,0.0335,160.095,0.415,19,10,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,12,身驕肉貴,spotify:track:1owqrTHlyiCJlwArDMi0b2,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",285813,0.437,0.443,0.608,0.0,0.6,-8.782,0.0553,132.665,0.294,21,8,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,13,拍拖,spotify:track:3aZtohxX8XAsDZDMzuzCBP,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",178760,0.833,0.388,0.508,0.0,0.464,-7.843,0.0502,144.633,0.462,17,6,1,3,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,14,蒸餾,spotify:track:0JE5EljGoBapdIezv1ufy9,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",245293,0.521,0.404,0.63,0.0,0.267,-8.073,0.0389,130.962,0.262,18,0,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,15,候鳥樹,spotify:track:3WNzTFDU50KZvuYm6gZe1N,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",203266,0.525,0.351,0.401,0.0,0.694,-9.659,0.0293,71.334,0.143,22,7,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,16,舊日回憶的山丘,spotify:track:0RUVuwVjyjTispWKy5Zs9t,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",313680,0.507,0.346,0.402,0.0,0.385,-9.472,0.0385,78.045,0.198,23,10,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,17,一直看見天使,spotify:track:07GUL9mhN6DZksapkxBVK0,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",275244,0.4,0.466,0.482,0.0,0.941,-9.166,0.0328,102.78,0.136,20,3,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,1,傷神,spotify:track:0tX4gLMSm7CT38B98gOrzm,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",238986,0.716,0.281,0.306,0.0,0.462,-11.896,0.0386,142.566,0.17,19,0,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,2,出賣,spotify:track:1uqdD7ualEPOvyCG726Dbs,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",242613,0.75,0.336,0.439,0.0,0.971,-9.834,0.0482,143.948,0.289,21,4,0,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,3,他狠過你,spotify:track:5nPnm6WcmgfN98q07wCUK7,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",243346,0.287,0.513,0.638,0.0,0.38,-9.387,0.0476,78.099,0.582,20,5,0,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
Joey • My Secret • Live,4,最後勝利,spotify:track:6amtag7TKHqOu14qa9r3an,"['AR', 'AT', 'AU', 'BE', 'BG', 'BO', 'BR', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'EC', 'EE', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HU', 'ID', 'IE', 'IL', 'IN', 'IT', 'JP', 'LT', 'LU', 'LV', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'PA', 'PE', 'PH', 'PL', 'PT', 'PY', 'RO', 'SE', 'SG', 'SK', 'SV', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']",234560,0.648,0.391,0.496,0.0,0.75,-8.618,0.0324,70.828,0.286,22,9,1,4,spotify:album:2iRFzWNrrMfUI1X9f5Ozwa,2017-08-25,day,41
